"Gene","Outcome","Group","Regulation","lfc","padj","Significant"
"IFN-β","Succumbed","Early","None",-0.815188764408591,0.997487940940071,FALSE
"TNF-α","Succumbed","Early","None",-0.776726129587335,0.997487940940071,FALSE
"GM-CSF","Succumbed","Early","None",-0.68531197017599,0.997487940940071,FALSE
"sCD40L","Succumbed","Early","None",-0.664471482763563,0.997487940940071,FALSE
"IFN-γ","Succumbed","Early","None",-0.649935195133096,0.997487940940071,FALSE
"tPA","Succumbed","Early","None",-0.633266854987951,0.997487940940071,FALSE
"Myoglobin","Succumbed","Early","None",0.569077930166422,0.997487940940071,FALSE
"IL-1β","Succumbed","Early","None",-0.541162143409542,0.997487940940071,FALSE
"IL-10","Succumbed","Early","None",-0.512743609826216,0.997487940940071,FALSE
"I-TAC","Succumbed","Early","None",0.403963499761478,0.997487940940071,FALSE
"IL-17A","Succumbed","Early","None",-0.39199540479872,0.997487940940071,FALSE
"MCP-1","Succumbed","Early","None",0.28586874273941,0.997487940940071,FALSE
"Prothrombin","Succumbed","Early","None",-0.27178715202297,0.997487940940071,FALSE
"IGFBP-4","Succumbed","Early","None",0.23004543252592,0.997487940940071,FALSE
"IL-8","Succumbed","Early","None",-0.226753593631335,0.997487940940071,FALSE
"MIP-1α","Succumbed","Early","None",-0.215204889754499,0.997487940940071,FALSE
"MPO","Succumbed","Early","None",0.174642914657168,0.997487940940071,FALSE
"ICAM-1","Succumbed","Early","None",0.172556673528662,0.997487940940071,FALSE
"MMP-2","Succumbed","Early","None",-0.16563993578648,0.997487940940071,FALSE
"Plasminogen","Succumbed","Early","None",-0.147204487845933,0.997487940940071,FALSE
"IL-6","Succumbed","Early","None",0.143259840701781,0.997487940940071,FALSE
"MIP-1β","Succumbed","Early","None",0.127146877119475,0.997487940940071,FALSE
"IL-23","Succumbed","Early","None",-0.12237862530413,0.997487940940071,FALSE
"Antithrombin","Succumbed","Early","None",-0.109478539601934,0.997487940940071,FALSE
"VCAM-1","Succumbed","Early","None",0.107763669465719,0.997487940940071,FALSE
"SAA","Succumbed","Early","None",0.0980307588586768,0.997487940940071,FALSE
"MIG","Succumbed","Early","None",0.0918773425380062,0.997487940940071,FALSE
"Factor XIII","Succumbed","Early","None",-0.0762106000484124,0.997487940940071,FALSE
"IP-10","Succumbed","Early","None",0.0718624430736092,0.997487940940071,FALSE
"Cystatin C","Succumbed","Early","None",-0.0260823280522224,0.997487940940071,FALSE
"MMP-9","Succumbed","Early","None",0.0258005178905201,0.997487940940071,FALSE
"Tissue Factor","Succumbed","Early","None",0.0222742332442758,0.997487940940071,FALSE
"Eotaxin","Succumbed","Early","None",-0.0130152186515327,0.997487940940071,FALSE
"PAI-1","Succumbed","Early","None",-0.00967420999798563,0.997487940940071,FALSE
"Fibrinogen","Succumbed","Early","None",-0.00892434994690916,0.997487940940071,FALSE
"OPN","Succumbed","Early","None",-0.00580360512466704,0.997487940940071,FALSE
"NGAL","Succumbed","Early","None",0.00474901745842793,0.997487940940071,FALSE
"PSGL-1","Succumbed","Early","None",0.002465381557478,0.997487940940071,FALSE
"MRP8/14","Succumbed","Early","None",-0.00197129361421489,0.997487940940071,FALSE
"tPA","Succumbed","Middle","Up",2.57782068340043,0.00229766837036095,TRUE
"IP-10","Succumbed","Middle","Up",2.53958844578843,0.000466573719421583,TRUE
"I-TAC","Succumbed","Middle","Up",2.29943220049512,0.00148003820387566,TRUE
"MCP-1","Succumbed","Middle","Up",2.27182952861554,0.000180557795387856,TRUE
"MRP8/14","Succumbed","Middle","Up",1.87787122930705,0.00886488663221905,TRUE
"IGFBP-4","Succumbed","Middle","Up",1.59557451215521,0.022676304415668,TRUE
"MPO","Succumbed","Middle","Up",1.22764873068217,0.0250017967633834,TRUE
"IL-6","Succumbed","Middle","None",1.10453561284518,0.297941391673388,FALSE
"MIP-1β","Succumbed","Middle","None",0.959678666727584,0.124557935353214,FALSE
"MIG","Succumbed","Middle","None",0.879365086077295,0.297941391673388,FALSE
"IFN-γ","Succumbed","Middle","None",0.845798481521415,0.320577672430859,FALSE
"VCAM-1","Succumbed","Middle","None",0.761228729442033,0.106191989427576,FALSE
"IL-8","Succumbed","Middle","None",-0.74225049930609,0.0407165758068713,FALSE
"GM-CSF","Succumbed","Middle","None",0.692079136730863,0.469395448668616,FALSE
"sCD40L","Succumbed","Middle","None",-0.679824456389458,0.349029890367178,FALSE
"PAI-1","Succumbed","Middle","None",0.66166868375732,0.297941391673388,FALSE
"IL-23","Succumbed","Middle","None",0.614089674374057,0.56944316710346,FALSE
"Prothrombin","Succumbed","Middle","None",-0.600562053918267,0.178084477797217,FALSE
"MIP-1α","Succumbed","Middle","None",-0.572794586275533,0.0157548545155727,FALSE
"Eotaxin","Succumbed","Middle","None",0.552597717347067,0.50352909358582,FALSE
"RANTES","Succumbed","Middle","None",0.551419827188292,0.645453768783041,FALSE
"IL-1β","Succumbed","Middle","None",0.499422243296231,0.583292266452643,FALSE
"OPN","Succumbed","Middle","None",0.481996697702066,0.0807252026814054,FALSE
"IL-12p40","Succumbed","Middle","None",-0.451689942865308,0.645453768783041,FALSE
"Antithrombin","Succumbed","Middle","None",-0.442859977809558,0.0962730965429991,FALSE
"Myoglobin","Succumbed","Middle","None",0.440643005875092,0.620505750718513,FALSE
"Plasminogen","Succumbed","Middle","None",-0.420972434795924,0.219145500624017,FALSE
"ICAM-1","Succumbed","Middle","None",0.405005698227544,0.306771069705027,FALSE
"IFN-β","Succumbed","Middle","None",-0.400116472562448,0.475872474830366,FALSE
"SAA","Succumbed","Middle","None",0.332769306817671,0.583292266452643,FALSE
"IL-17A","Succumbed","Middle","None",-0.273242605945297,0.620505750718513,FALSE
"Fibrinogen","Succumbed","Middle","None",0.239154665298337,0.56944316710346,FALSE
"Cystatin C","Succumbed","Middle","None",0.23717736588941,0.620505750718513,FALSE
"Factor XIII","Succumbed","Middle","None",-0.21418189133141,0.438577699104956,FALSE
"MMP-9","Succumbed","Middle","None",0.140696225682278,0.782842417515822,FALSE
"MMP-2","Succumbed","Middle","None",0.12355340013627,0.817904651918377,FALSE
"PSGL-1","Succumbed","Middle","None",-0.0220385430738332,0.976284275019056,FALSE
"Tissue Factor","Succumbed","Middle","None",0.014563978274766,0.995079288868914,FALSE
"IL-10","Succumbed","Middle","None",0.0102784292360454,0.995079288868914,FALSE
"NGAL","Succumbed","Middle","None",0.0044659440122814,0.995079288868914,FALSE
"TNF-α","Succumbed","Middle","None",-0.0043925263325546,0.995079288868914,FALSE
"IP-10","Succumbed","Late","Up",5.9935224651809,2.18732480456643e-17,TRUE
"I-TAC","Succumbed","Late","Up",5.49972071693499,1.10538787889536e-15,TRUE
"tPA","Succumbed","Late","Up",5.38534757871067,2.41048528962625e-12,TRUE
"MRP8/14","Succumbed","Late","Up",5.22825656790155,3.47001547357693e-15,TRUE
"MCP-1","Succumbed","Late","Up",5.05420278587711,8.547996764732e-18,TRUE
"MIG","Succumbed","Late","Up",5.01743968459557,9.89377330465751e-14,TRUE
"IL-6","Succumbed","Late","Up",3.87117768631488,4.25476667772449e-07,TRUE
"IGFBP-4","Succumbed","Late","Up",3.05789156664112,1.6682255092749e-07,TRUE
"MIP-1β","Succumbed","Late","Up",3.04316240694013,2.34806953257885e-09,TRUE
"GM-CSF","Succumbed","Late","Up",2.88423636058479,9.20665798632185e-06,TRUE
"Eotaxin","Succumbed","Late","Up",2.69083031814771,2.76821493005878e-06,TRUE
"PAI-1","Succumbed","Late","Up",2.63892856648725,1.36443719919044e-08,TRUE
"MPO","Succumbed","Late","Up",2.36261168057792,2.72114243970039e-07,TRUE
"TNF-α","Succumbed","Late","Up",2.1796733586817,0.00299553360254822,TRUE
"IFN-γ","Succumbed","Late","Up",2.14131006872658,0.000559032005938476,TRUE
"Myoglobin","Succumbed","Late","Up",1.72238409766895,0.00478915036725947,TRUE
"VCAM-1","Succumbed","Late","Up",1.63773954511984,9.00032673056595e-06,TRUE
